Stand Composition,Productivity Class,BEC_ZONE_CODE,BEC_SUBZONE,BEC String,% of WMB Area,% AFLB in WMB Area,% AFLB in Study Area,% of Study Area
Mixed,Medium,BWBS,mw,BWBSmw,5.223015770214634,5.507441661536167,4.404752559800706,3.998009842446254
Mixed,Medium,BWBS,wk,BWBSwk,1.2920670522128213,1.6069785148132658,1.3965295809720137,1.0859994476892016
Mixed,Medium,ESSF,mv,ESSFmv,0.0016453037427973131,0.0022474182752591112,0.00454959370366577,0.003709585283208035
Mixed,Medium,SWB,mk,SWBmk,0.02865364082968666,0.03913971273880959,0.04544022230806468,0.03316708949443297
Mixed,,BWBS,mk,BWBSmk,0.001696858869681467,0.0,,0.0009660870221829628
Mixed,,SWB,mk,SWBmk,0.0,0.0,,0.00014270698067332367
Mixed,,SWB,mks,SWBmks,0.0,0.0,,0.0013132886365559136
,,BAFA,un,BAFAun,0.0,0.0,,0.011627565378258677
,,BWBS,mk,BWBSmk,1.5442888976591884,0.38777186282271703,0.29479847617019644,1.5313465662200345
,,BWBS,mw,BWBSmw,3.9177514210294673,0.7702293917396185,0.5835909993734624,4.030873438247754
,,BWBS,wk,BWBSwk,0.3760561691991144,0.21016415155664714,0.1415099949667919,0.29607925076467234
,,ESSF,mv,ESSFmv,0.001507606730491044,1.4333056847791253e-11,0.0002581725873124515,0.024601869266085336
,,ESSF,mvp,ESSFmvp,0.0,0.0,0.0014691760213377406,0.005424572203518769
,,SWB,mk,SWBmk,0.006489329975602422,4.855526545487424e-06,0.002502434061724659,0.05909777841174828
,,SWB,mks,SWBmks,0.007462404668516189,0.0,,0.04095355932823724
